,,,,,,,,,,,,
DANH SÁCH BỆNH THEO DANH MỤC ICD,,,,,,,,,,,,
Ngày 19 tháng 08 năm 2021,,,,,,,,,,,,
,,,,,,,,,,,,
STT,Mã,Tên bệnh ,Nhóm bệnh,Mãn tính,Bệnh của,Thường gập,Bệnh năm,Không BH,Ngoài DS,Chuyên khoa,Mô tả,Hiệu lực
51,T11.3,"Tổn thương dây thần kinh chưa xác định tại chi trên, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
52,T11.4,"Tổn thương mạch máu chưa xác định tại chi trên, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
53,T11.5,"Tổn thương cơ chưa xác định và gân tại chi trên, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
54,T11.6,"Chấn thương cắt cụt tại chi trên, tầm không xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
55,T11.8,"Tổn thương khác đã xác định tại chi trên, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
56,T11.9,"Tổn thương chưa xác định tại chi trên, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
57,T12,"Gãy xương chi dưới, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
58,T13,"Tổn thương khác chi dưới, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
59,T13.0,"Tổn thương nông chi dưới, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
60,T13.1,"Vết thương hở chi dưới, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
61,T13.2,"Sai khớp, bong gân và căng cơ khớp chưa xác định và dây chằng chi dưới, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
62,T13.3,"Tổn thương dây thần kinh chưa xác định tại chi dưới, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
63,W41,Bị ảnh hưởng tia áp lực cao,Tai nạn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
64,W42,Ảnh hưởng tiếng ồn,Tai nạn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
65,W43,ảnh hưởng độ rung,Tai nạn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
66,F13.3,Rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ (Trạng thái cai),Rối loạn tâm thần và hành vi do sử dụng chất tác động tâm thần,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
67,F13.4,Rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ (Trạng thái cai với mê sảng),Rối loạn tâm thần và hành vi do sử dụng chất tác động tâm thần,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
68,H26.4,Đục bao sau mổ đục thể thủy tinh ngoài bao,Bệnh thủy tinh thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
69,H26.8,Đục thể thủy tinh xác định khác,Bệnh thủy tinh thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
70,H26.9,"Đục thể thủy tinh, không đặc hiệu khác",Bệnh thủy tinh thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
71,H27,Các bệnh khác của thủy tinh thể,Bệnh thủy tinh thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
72,H27.0,Không có thể thủy tinh,Bệnh thủy tinh thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
73,H27.1,Lệch thể thủy tinh,Bệnh thủy tinh thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
74,H27.8,Bệnh thể thủy tinh xác định khác,Bệnh thủy tinh thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
75,Z58.3,Phơi nhiễm với đất ô nhiễm,Những người có nguy cơ sức khỏe tiềm tàng liên quan đến những hoàn cảnh kinh tế xã hội và tâm lý xã hội,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
76,Z58.4,Phơi nhiễm với tia xạ,Những người có nguy cơ sức khỏe tiềm tàng liên quan đến những hoàn cảnh kinh tế xã hội và tâm lý xã hội,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
77,Z58.5,Phơi nhiễm với các ô nhiễm khác,Những người có nguy cơ sức khỏe tiềm tàng liên quan đến những hoàn cảnh kinh tế xã hội và tâm lý xã hội,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
78,Z51.5,Chăm sóc giảm nhẹ,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
79,Z51.6,Giải mẫn cảm các dị nguyên,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
80,Z51.8,Chăm sóc y học đặc hiệu khác,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
81,Z51.9,Chăm sóc y học không đặc hiệu,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
82,Z52,Hiến tạng và mô,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
83,Z52.0,Hiến máu,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
84,Z52.1,Hiến da,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
85,Z52.2,Hiến xương,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
86,Z52.3,Hiến tủy xương,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
87,Z52.4,Hiến thận,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
88,Z52.5,Hiến giác mạc,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
89,Z52.6,Hiến gan,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
90,Z52.7,Hiến tim,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
91,Z52.8,Hiến các tạng và mô khác,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
92,Z52.9,Hiến các tạng và mô không đặc hiệu,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
93,Z53,Người bệnh đến các cơ sở y tế do chưa được thực hiện những thủ thuật đặc hiệu,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
94,Z53.0,Chưa được thực hiện chống chỉ định,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
95,Z53.1,Chưa thực hiện do người bệnh chưa quyết định vì chưa tin tưởng hay vì áp lực của nhóm,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
96,Z53.2,Chưa thực hiện do người bệnh chưa quyết định vì những lý do khác không xác định,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
97,Z53.8,Chưa thực hiện vì những lý do khác,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
98,Z53.9,Chưa thực hiện vì lý do không xác định,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
99,Z54,Thời kỳ dưỡng sức,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
100,Z54.0,Dưỡng sức sau phẫu thuật,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
101,Z54.1,Dưỡng sức sau xạ trị liệu,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
102,Z54.2,Dưỡng sức sau hóa trị liệu,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
103,Z54.3,Dưỡng sức sau liệu pháp tâm thần,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
104,Z54.4,Dưỡng sức sau điều trị gãy xương,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
105,Z54.7,Dưỡng sức sau điều trị phối hợp,Những người đến cơ sở y tế để được chăm sóc và tiến hành các thủ thuật đặc biệt,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
106,T27.7,"Ăn mòn đường hô hấp, phần chưa xác định",Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
107,T28,Bỏng và ăn mòn nội tạng khác,Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
108,T28.0,Bỏng tại miệng và hầu họng,Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
109,T28.1,Bỏng tại thực quản,Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
110,T28.2,Bỏng tại phần khác của đường tiêu hóa,Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
111,T28.3,Bỏng tại phần trong của đường tiết niệu sinh dục,Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
112,T28.4,Bỏng nơi khác và các nội tạng chưa xác định,Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
